普通：
时间：32.639  Open队列最大深度：764 格网遍历数：25838;
Path {0} :路径格网数：33; 路径长度：4169.42; 因子：20.1319 0 29.7048 0 49.1278 0.0908265 0.944602 ; 均值：5.36713; 标准差：5.26366
Path {1} :路径格网数：34; 路径长度：4309.66; 因子：20.2813 0 27.1527 0 51.561 0.0881575 0.916844 ; 均值：4.90836; 标准差：5.13736
Path {2} :路径格网数：33; 路径长度：4169.42; 因子：19.4539 0 30.8892 0 48.5916 0.121065 0.944316 ; 均值：5.49484; 标准差：5.25345
Path {3} :路径格网数：34; 路径长度：4309.65; 因子：18.6679 0 26.396 0 54.7895 0.0881575 0.0583866 ; 均值：5.30588; 标准差：5.80408
Path {4} :路径格网数：33; 路径长度：4169.41; 因子：20.4678 0 21.6702 0 57.7111 0.0908265 0.0601542 ; 均值：5.72156; 标准差：5.72833
Path {5} :路径格网数：32; 路径长度：4029.16; 因子：20.7876 0 16.8712 0 61.7965 0.0936622 0.450945 ; 均值：6.53927; 标准差：5.65034
Path {6} :路径格网数：33; 路径长度：4169.41; 因子：20.3835 0 16.954 0 62.5717 0.0908265 0 ; 均值：5.73632; 标准差：5.19716
Path {7} :路径格网数：32; 路径长度：4029.16; 因子：20.6759 0 17.5999 0 61.1796 0.0936622 0.450945 ; 均值：6.37164; 标准差：5.77677
Path {8} :路径格网数：36; 路径长度：4590.15; 因子：21.3402 0 21.6535 1.38978 54.7047 0.359812 0.551964 ; 均值：6.29577; 标准差：5.78157
Path {9} :路径格网数：36; 路径长度：4590.15; 因子：20.6756 0 24.9088 1.38901 50.8503 0.414938 1.76129 ; 均值：6.45099; 标准差：5.6994
Path {10} :路径格网数：36; 路径长度：4590.15; 因子：20.4732 0 25.6839 1.38901 50.2777 0.414938 1.76129 ; 均值：6.44283; 标准差：5.79146
Path {11} :路径格网数：36; 路径长度：4590.15; 因子：20.8748 0 25.3288 1.38863 50.2045 0.442478 1.7608 ; 均值：6.65171; 标准差：5.658
Path {12} :路径格网数：36; 路径长度：4590.15; 因子：20.6723 0 26.1037 1.38863 49.632 0.442478 1.7608 ; 均值：6.64356; 标准差：5.751
